Billing Run: Billing Run Number,Billing Run: Number Of Invoices,total_times_second,avg_seconds_per_invoice
BR-00022869,1.0,0.218,0.218
BR-00022868,1.0,0.327,0.327
BR-00022899,1.0,0.242,0.242
BR-00022896,1.0,0.224,0.224
BR-00022892,1.0,0.304,0.304
BR-00022880,1.0,15.424,15.424
BR-00022871,1.0,0.305,0.305
BR-00022870,1.0,0.299,0.299
BR-00022867,1.0,0.472,0.472
BR-00022844,1.0,0.4,0.4
BR-00022839,1.0,0.309,0.309
BR-00022862,1.0,0.237,0.237
BR-00022856,1.0,0.765,0.765
BR-00022959,1.0,0.33,0.33
BR-00022888,1.0,0.221,0.221
BR-00022905,1.0,0.229,0.229
BR-00022937,1.0,0.306,0.306
BR-00022948,1.0,0.258,0.258
BR-00022935,1.0,0.28,0.28
BR-00022934,1.0,0.368,0.368
BR-00022932,1.0,0.321,0.321
BR-00022927,1.0,0.251,0.251
BR-00022904,1.0,0.276,0.276
BR-00022943,1.0,0.269,0.269
BR-00022920,1.0,0.2,0.2
BR-00022912,1.0,0.268,0.268
BR-00022918,1.0,0.283,0.283
BR-00022946,1.0,0.25,0.25
BR-00022939,1.0,0.225,0.225
BR-00022930,1.0,0.284,0.284
BR-00022923,1.0,0.23,0.23
BR-00022922,1.0,0.254,0.254
BR-00022916,1.0,0.225,0.225
BR-00022853,1.0,0.244,0.244
BR-00022842,1.0,73.074,73.074
BR-00022699,1.0,0.294,0.294
BR-00022828,1.0,0.278,0.278
BR-00022986,1.0,0.303,0.303
BR-00022897,1.0,0.244,0.244
BR-00022980,1.0,0.318,0.318
BR-00023009,1.0,0.249,0.249
BR-00022984,1.0,0.212,0.212
BR-00022985,1.0,0.219,0.219
BR-00022987,1.0,0.245,0.245
BR-00022993,1.0,0.562,0.562
BR-00022995,1.0,0.251,0.251
BR-00022983,1.0,0.226,0.226
BR-00022949,1.0,0.838,0.838
BR-00022766,1.0,0.227,0.227
BR-00022729,1.0,0.257,0.257
BR-00022722,1.0,0.199,0.199
BR-00022716,1.0,0.178,0.178
BR-00022712,1.0,0.352,0.352
BR-00022702,1.0,0.198,0.198
BR-00022975,1.0,0.288,0.288
BR-00022972,1.0,0.307,0.307
BR-00022976,1.0,0.324,0.324
BR-00022804,1.0,0.234,0.234
BR-00022825,1.0,0.234,0.234
BR-00022823,1.0,0.374,0.374
BR-00022820,1.0,0.29,0.29
BR-00022819,1.0,0.225,0.225
BR-00022816,1.0,0.277,0.277
BR-00022812,1.0,0.245,0.245
BR-00022810,1.0,0.239,0.239
BR-00022797,1.0,0.254,0.254
BR-00022974,1.0,0.183,0.183
BR-00022794,1.0,0.276,0.276
BR-00022793,1.0,0.243,0.243
BR-00022788,1.0,0.355,0.355
BR-00022799,1.0,0.205,0.205
BR-00022964,1.0,0.216,0.216
BR-00022951,1.0,0.259,0.259
BR-00022957,1.0,1.748,1.748
BR-00022981,1.0,0.235,0.235
BR-00022798,1.0,0.203,0.203
BR-00022891,1.0,0.223,0.223
BR-00022770,1.0,0.236,0.236
BR-00022736,1.0,0.456,0.456
BR-00022721,1.0,0.223,0.223
BR-00022708,1.0,0.215,0.215
BR-00022701,1.0,0.184,0.184
BR-00022697,1.0,0.212,0.212
BR-00022696,1.0,0.242,0.242
BR-00022693,1.0,0.207,0.207
BR-00022692,1.0,0.355,0.355
BR-00022690,1.0,0.203,0.203
BR-00022675,1.0,0.213,0.213
BR-00022670,1.0,776.934,776.934
BR-00022657,1.0,0.242,0.242
BR-00022649,1.0,0.265,0.265
BR-00022641,1.0,0.306,0.306
BR-00022609,1.0,0.212,0.212
